"id","flux","session","order","type","binary","confidence","n1","n2","n3","n4","n5","n6","total"
"101","A1","BA",1,"M",1,3,0,0,0,0,0,18,18
"101","A1","BA",1,"NM",0.944444444444444,2.97,1,1,0,0,0,34,36
"102","B1","AB",4,"M",0.777777777777778,1.94,1,2,1,4,7,3,18
"102","B1","AB",4,"NM",0.555555555555556,2.06,8,4,4,6,10,4,36
"103","A1","BA",2,"M",1,2.78,0,0,0,1,2,15,18
"103","A1","BA",2,"NM",0.833333333333333,2.08,0,4,2,8,9,13,36
"104","B1","AB",3,"M",0.333333333333333,2.17,6,4,2,2,3,1,18
"104","B1","AB",3,"NM",0.472222222222222,2.08,8,3,8,4,6,7,36
"105","A1","BA",1,"M",0.944444444444444,2.78,0,1,0,0,3,14,18
"105","A1","BA",1,"NM",0.472222222222222,2.33,0,19,0,0,5,12,36
"106","B1","AB",4,"M",0.333333333333333,1.44,0,1,11,0,5,1,18
"106","B1","AB",4,"NM",0.611111111111111,2.11,0,4,10,2,4,16,36
"107","A1","BA",2,"M",0.0555555555555556,2.89,15,2,0,0,0,1,18
"107","A1","BA",2,"NM",0.194444444444444,2.92,29,0,0,0,3,4,36
"108","B1","AB",3,"M",0.111111111111111,2.17,6,6,4,0,1,1,18
"108","B1","AB",3,"NM",0.416666666666667,2.19,6,9,6,2,4,9,36
"109","A1","BA",1,"M",0.555555555555556,2.33,0,7,1,1,1,8,18
"109","A1","BA",1,"NM",0.444444444444444,2.31,5,12,3,0,7,9,36
"110","B1","AB",4,"M",0.833333333333333,2.33,2,1,0,1,9,5,18
"110","B1","AB",4,"NM",0.833333333333333,2.56,4,1,1,0,13,17,36
"111","A1","BA",2,"M",0.944444444444444,2.89,0,1,0,0,1,16,18
"111","A1","BA",2,"NM",0.166666666666667,2.58,18,12,0,0,3,3,36
"112","B1","AB",3,"M",0.5,1.67,0,5,4,3,5,1,18
"112","B1","AB",3,"NM",0.666666666666667,1.83,0,9,3,6,15,3,36
"113","A1","BA",1,"M",0.944444444444444,2.72,1,0,0,1,3,13,18
"113","A1","BA",1,"NM",0.472222222222222,2.19,7,10,2,4,7,6,36
"114","B1","AB",4,"M",0.611111111111111,1.72,0,2,5,3,5,3,18
"114","B1","AB",4,"NM",0.861111111111111,2.19,0,2,3,6,9,16,36
"115","A1","BA",2,"M",0.833333333333333,2.61,0,2,1,0,3,12,18
"115","A1","BA",2,"NM",0.75,2.44,0,9,0,2,7,18,36
"116","B1","AB",3,"M",0.333333333333333,1.72,0,5,7,0,4,2,18
"116","B1","AB",3,"NM",0.638888888888889,2.03,0,4,9,3,7,13,36
"117","A1","BA",1,"M",0.555555555555556,2.5,3,5,0,0,4,6,18
"117","A1","BA",1,"NM",0.277777777777778,2.56,16,10,0,0,6,4,36
"118","B1","AB",4,"M",0.444444444444444,2.11,1,6,3,0,4,4,18
"118","B1","AB",4,"NM",0.611111111111111,1.97,1,5,8,3,10,9,36
"119","A1","BA",2,"M",1,3,0,0,0,0,0,18,18
"119","A1","BA",2,"NM",0.0833333333333333,2.42,21,7,5,1,2,0,36
"120","B1","AB",3,"M",0.388888888888889,2.28,4,4,3,1,1,5,18
"120","B1","AB",3,"NM",0.722222222222222,2.28,3,6,1,4,10,12,36
"121","A1","BA",1,"M",0.777777777777778,2.28,0,2,2,0,7,7,18
"121","A1","BA",1,"NM",0.666666666666667,1.86,0,6,6,5,13,6,36
"122","B1","AB",4,"M",0.277777777777778,1.61,0,5,8,2,0,3,18
"122","B1","AB",4,"NM",0.638888888888889,1.92,0,8,5,5,11,7,36
